state,year,emissions
AL,2018,429.6412902
AR,2018,488.8585226
AZ,2018,401.5583244
CA,2018,219.2530191
CO,2018,619.8032361
CT,2018,219.8062987
DE,2018,455.5099117
FL,2018,440.377082
GA,2018,424.6578478
IA,2018,494.9109931
ID,2018,66.52621658
IL,2018,338.0321951
IN,2018,843.6641956
KS,2018,501.7856968
KY,2018,898.5931596
LA,2018,375.5467599
MA,2018,230.1086131
MD,2018,329.0245763
ME,2018,96.49147534
MI,2018,530.6146778
MN,2018,406.4021375
MO,2018,838.810783
MS,2018,421.0643187
MT,2018,344.7430689
NC,2018,444.3451829
ND,2018,551.0053553
NE,2018,520.9659854
NH,2018,65.27924954
NJ,2018,266.2063085
NM,2018,668.9164081
NV,2018,363.1844396
NY,2018,196.5939622
OH,2018,678.0008572
OK,2018,365.4164854
OR,2018,142.166783
PA,2018,475.1667784
RI,2018,360.6027408
SC,2018,302.7549892
SD,2018,276.3757496
TN,2018,394.6046214
TX,2018,444.7684357
UT,2018,807.6742288
VA,2018,347.5460258
VT,2018,1.35857998
WA,2018,66.01811531
WI,2018,660.5157308
WV,2018,911.5505987
WY,2018,880.7832492
AL,2020,387.9355834
AR,2020,449.2462251
AZ,2020,301.0122861
CA,2020,231.0094472
CO,2020,510.191045
CT,2020,239.2804707
DE,2020,458.1114171
FL,2020,418.7980052
GA,2020,339.1085424
IA,2020,446.0506503
ID,2020,76.78962127
IL,2020,283.1559978
IN,2020,786.5139716
KS,2020,336.102845
KY,2020,897.451434
LA,2020,496.1267716
MA,2020,267.7962275
MD,2020,186.6763847
ME,2020,110.1715007
MI,2020,522.866784
MN,2020,335.5033924
MO,2020,763.5807324
MS,2020,411.4481094
MT,2020,34.02420874
NC,2020,388.9319741
ND,2020,383.057943
NE,2020,348.3044818
NH,2020,17.41947298
NJ,2020,286.3140411
NM,2020,517.18377
NV,2020,317.8656162
NY,2020,210.4578356
OH,2020,648.6800839
OK,2020,328.7975866
OR,2020,136.4500514
PA,2020,376.8555981
RI,2020,327.4988533
SC,2020,239.7680064
SD,2020,129.7825168
TN,2020,362.4543241
TX,2020,377.5216416
UT,2020,711.262302
VA,2020,332.1383893
VT,2020,1.077425315
WA,2020,44.56168232
WI,2020,629.7135872
WV,2020,723.6524254
WY,2020,749.2488484
AL,2022,396.1794911
AR,2022,458.1212594
AZ,2022,363.1750108
CA,2022,222.2672793
CO,2022,570.8057296
CT,2022,246.6944403
DE,2022,453.7898785
FL,2022,420.1409635
GA,2022,302.5456844
IA,2022,469.8441608
ID,2022,71.73933714
IL,2022,288.8671464
IN,2022,796.63548
KS,2022,389.8021
KY,2022,916.1470709
LA,2022,482.0573118
MA,2022,285.0959836
MD,2022,220.0876541
ME,2022,129.9730938
MI,2022,565.8891034
MN,2022,307.4742728
MO,2022,801.0504318
MS,2022,418.6628733
MT,2022,199.4872841
NC,2022,412.0478486
ND,2022,431.6615217
NE,2022,369.6151192
NH,2022,45.53023359
NJ,2022,289.8339317
NM,2022,632.6020969
NV,2022,321.0577059
NY,2022,222.7768557
OH,2022,629.5811402
OK,2022,337.2229713
OR,2022,133.6071348
PA,2022,419.6051051
RI,2022,353.5152179
SC,2022,242.4802778
SD,2022,153.8557203
TN,2022,381.1425032
TX,2022,368.0965095
UT,2022,806.8226034
VA,2022,336.4429065
VT,2022,1.091221663
WA,2022,42.10288992
WI,2022,637.3699663
WV,2022,666.2815214
WY,2022,741.4923016
AL,2024,395.6484851
AR,2024,447.9222463
AZ,2024,342.5875714
CA,2024,219.6043248
CO,2024,578.12701
CT,2024,246.0781405
DE,2024,439.0024865
FL,2024,433.3849212
GA,2024,333.7003298
IA,2024,467.3582005
ID,2024,68.74319277
IL,2024,291.6399691
IN,2024,718.4952064
KS,2024,287.3016601
KY,2024,851.9565617
LA,2024,421.1844496
MA,2024,263.4688416
MD,2024,229.3478246
ME,2024,122.6260907
MI,2024,501.8147549
MN,2024,309.0189814
MO,2024,806.4726016
MS,2024,383.6443443
MT,2024,357.0335127
NC,2024,429.8702092
ND,2024,433.5249687
NE,2024,370.3773584
NH,2024,38.17257854
NJ,2024,270.3223586
NM,2024,653.9378813
NV,2024,331.2409085
NY,2024,163.1459951
OH,2024,644.3855158
OK,2024,279.2055427
OR,2024,128.8282243
PA,2024,387.4142618
RI,2024,202.7671077
SC,2024,258.5477464
SD,2024,154.4328854
TN,2024,363.4166717
TX,2024,327.9254126
UT,2024,728.3678528
VA,2024,263.2282692
VT,2024,1.096134737
WA,2024,37.6979192
WI,2024,651.4928568
WV,2024,750.4030151
WY,2024,774.2836878
AL,2026,433.0650078
AR,2026,491.350651
AZ,2026,354.8277756
CA,2026,194.0523041
CO,2026,547.8409753
CT,2026,224.9675739
DE,2026,175.3613426
FL,2026,452.2055283
GA,2026,387.6164495
IA,2026,473.0621396
ID,2026,63.4431503
IL,2026,273.7442347
IN,2026,735.8702024
KS,2026,335.433033
KY,2026,846.7897317
LA,2026,400.4465335
MA,2026,184.7067986
MD,2026,209.9617838
ME,2026,90.7227967
MI,2026,503.5461838
MN,2026,274.0461337
MO,2026,815.0555858
MS,2026,387.6672011
MT,2026,427.5468639
NC,2026,444.9427257
ND,2026,471.4802109
NE,2026,387.2056226
NH,2026,29.02969338
NJ,2026,260.6631249
NM,2026,661.9228656
NV,2026,349.5974596
NY,2026,138.5291995
OH,2026,652.77224
OK,2026,239.5554298
OR,2026,98.9945757
PA,2026,404.3532977
RI,2026,132.3831803
SC,2026,293.0738484
SD,2026,175.8119616
TN,2026,356.2235237
TX,2026,329.9500795
UT,2026,731.2744344
VA,2026,219.5051342
VT,2026,1.122445357
WA,2026,25.02695091
WI,2026,671.8036259
WV,2026,761.5536559
WY,2026,789.1688896
AL,2028,434.8459686
AR,2028,468.0127662
AZ,2028,302.9972809
CA,2028,175.4452505
CO,2028,509.0204968
CT,2028,211.9378865
DE,2028,157.357888
FL,2028,446.0411053
GA,2028,396.951795
IA,2028,463.7563995
ID,2028,54.90740677
IL,2028,256.5823979
IN,2028,749.5697523
KS,2028,314.2655851
KY,2028,850.6610077
LA,2028,398.2807988
MA,2028,168.9822811
MD,2028,191.7980546
ME,2028,85.5706093
MI,2028,492.5632787
MN,2028,258.7034115
MO,2028,683.2455988
MS,2028,367.3029438
MT,2028,428.1337053
NC,2028,445.9052588
ND,2028,458.0983782
NE,2028,324.9049096
NH,2028,28.56427473
NJ,2028,239.0890794
NM,2028,652.280992
NV,2028,348.2960507
NY,2028,116.6005037
OH,2028,630.8063141
OK,2028,189.0056745
OR,2028,88.21701028
PA,2028,421.2009528
RI,2028,110.4929715
SC,2028,233.2784929
SD,2028,182.888796
TN,2028,359.7656028
TX,2028,320.5653217
UT,2028,744.4904387
VA,2028,203.4844056
VT,2028,1.151119481
WA,2028,20.68299793
WI,2028,663.2638808
WV,2028,803.6847067
WY,2028,720.5554149
AL,2030,416.3714862
AR,2030,463.8667982
AZ,2030,278.2110546
CA,2030,166.7716382
CO,2030,464.6247808
CT,2030,209.4640101
DE,2030,139.3374802
FL,2030,388.4533284
GA,2030,323.2858412
IA,2030,466.3528017
ID,2030,48.99609289
IL,2030,244.9938596
IN,2030,734.3582129
KS,2030,303.3123203
KY,2030,841.5936243
LA,2030,333.6054138
MA,2030,138.5171561
MD,2030,176.2884409
ME,2030,93.29906535
MI,2030,365.2572404
MN,2030,215.6921228
MO,2030,666.0869249
MS,2030,304.4315681
MT,2030,411.1885736
NC,2030,429.2870517
ND,2030,433.6834025
NE,2030,331.1562829
NH,2030,36.56360347
NJ,2030,224.1905573
NM,2030,622.3085247
NV,2030,306.4606639
NY,2030,103.7694745
OH,2030,630.2220804
OK,2030,190.2642379
OR,2030,89.29580287
PA,2030,407.8455075
RI,2030,85.84867797
SC,2030,183.7969949
SD,2030,135.6936081
TN,2030,314.7492701
TX,2030,296.8560308
UT,2030,745.6501462
VA,2030,205.4162666
VT,2030,1.174660413
WA,2030,20.77634881
WI,2030,658.6068337
WV,2030,731.2943768
WY,2030,722.4287971
AL,2032,417.53911
AR,2032,444.6822779
AZ,2032,271.4166646
CA,2032,167.6716097
CO,2032,453.5653688
CT,2032,208.6246787
DE,2032,120.6343023
FL,2032,380.9558329
GA,2032,309.7084258
IA,2032,436.8419844
ID,2032,44.3690627
IL,2032,271.9881233
IN,2032,712.4131154
KS,2032,301.3598918
KY,2032,619.7149586
LA,2032,348.8011214
MA,2032,134.6123987
MD,2032,174.4663366
ME,2032,98.23061889
MI,2032,357.3614723
MN,2032,232.2244223
MO,2032,656.2080187
MS,2032,288.5801151
MT,2032,404.2808487
NC,2032,409.0793737
ND,2032,430.7178617
NE,2032,307.9035699
NH,2032,27.61097609
NJ,2032,218.2110674
NM,2032,585.5793097
NV,2032,298.9489661
NY,2032,99.24570218
OH,2032,593.6025871
