state,emissions
AL,414.9882255
AR,463.4052638
AZ,248.9613043
CA,143.7495868
CO,426.3791447
CT,249.5445301
DE,142.2259586
FL,347.2944018
GA,338.8596651
IA,447.5751486
ID,182.7762305
IL,258.5333962
IN,689.0382542
KS,311.5170409
KY,620.6118924
LA,356.2076843
MA,129.0697686
MD,207.1465142
ME,114.5613186
MI,349.2069301
MN,153.0502889
MO,655.9832204
MS,294.9887747
MT,379.3260633
NC,394.1733003
ND,416.0750281
NE,365.9236833
NH,22.92629332
NJ,221.1639592
NM,324.5432252
NV,299.7448207
NY,110.4012257
OH,566.7935982
OK,191.1365793
OR,77.17478956
PA,456.1823609
RI,91.03930885
SC,197.4927064
SD,86.4030214
TN,300.4343924
TX,253.4558248
UT,723.6620215
VA,163.6097524
VT,48.13841147
WA,20.21576982
WI,542.4177618
WV,592.023641
WY,567.9128179
