state,emissions
AL,327.07
AK,438.23
AZ,334.29
AR,431.5
CA,205.53
CO,553.04
CT,240.3
DE,342.48
FL,382
GA,328.18
HI,692.41
ID,96.79
IL,252.4
IN,702.82
IA,279.05
KS,364.78
KY,764.24
LA,345.52
ME,103.5
MD,292.71
MA,399.12
MI,425.48
MN,349.43
MS,405.57
MO,734.1
MT,413.97
NE,544.61
NV,325.05
NH,112.44
NJ,223.3
NM,571.47
NY,189.01
NC,294.13
ND,629.65
OH,568.48
OK,321.44
OR,154.95
PA,316.39
RI,375.37
SC,233.08
SD,154.49
TN,259.19
TX,388.96
UT,710.22
VT,13.75
VA,292.5
WA,96.74
WV,873.04
WI,540.69
WY,902.7
