Year,Residential,Commercial,Industrial,Transportation
2022,14.558746,12.512105,8.332455,14.502357
2023,14.137022,12.249195,8.178311,15.017732
2024,13.836985,11.71762,7.562721,14.568986
2025,13.423343,11.21616,7.150683,13.74018
2026,13.182622,10.936932,6.87677,13.61303
2027,12.999249,10.734302,6.684604,13.589597
2028,12.875704,10.563871,6.560654,13.559766
2029,12.842129,10.480595,6.494337,13.553876
2030,12.876039,10.468112,6.477499,13.556692
2031,12.943087,10.462433,6.475087,13.623919
2032,13.004488,10.451896,6.479234,13.704961
2033,13.199555,10.570556,6.589141,13.8411
2034,13.34955,10.648975,6.622276,13.939563
2035,13.363859,10.623759,6.60487,14.008406
2036,13.44616,10.65635,6.646901,14.012616
2037,13.548438,10.693994,6.702202,14.122978
2038,13.691177,10.778915,6.793198,14.216115
2039,13.79192,10.834794,6.871445,14.35593
2040,13.892632,10.88077,6.92733,14.427718
2041,13.972958,10.91621,6.973525,14.510461
2042,14.018152,10.921968,6.976631,14.511039
2043,14.04878,10.924382,6.963557,14.500132
2044,14.074063,10.911804,6.961082,14.488925
2045,14.1049,10.894216,6.944373,14.506548
2046,14.081588,10.833882,6.901199,14.54316
2047,14.041449,10.744009,6.856498,14.494947
2048,14.020605,10.705812,6.831908,14.495821
2049,13.956806,10.62043,6.787942,14.338176
2050,13.852473,10.509831,6.724379,14.21382
