year,diesel
2050,2.590707731
2049,2.590018486
2048,2.584243084
2047,2.579855417
2046,2.577566515
2045,2.524341454
2044,2.519272463
2043,2.527842477
2042,2.516958474
2041,2.51600779
2040,2.500522216
2039,2.496187364
2038,2.492294844
2037,2.483126032
2036,2.470541361
2035,2.47
2034,2.451196276
2033,2.446948571
2032,2.436110121
2031,2.424716446
2030,2.410476662
2029,2.408233314
2028,2.399543804
2027,2.46983165
2026,2.554546115
2025,2.638479567
2024,2.830023767
2023,2.983042187
2022,3.370343302
