year,e-fuel
2021,5.93648907
2022,5.923422928
2023,5.910356786
2024,5.897290645
2025,5.884224504
2026,5.871158362
2027,5.858092221
2028,5.84502608
2029,5.831959939
2030,5.818893797
2031,5.693115037
2032,5.567336278
2033,5.441557519
2034,5.31577876
2035,5.19
2036,5.064221241
2037,4.938442482
2038,4.812663723
2039,4.686884963
2040,4.561106203
2041,4.544765892
2042,4.52842558
2043,4.512085269
2044,4.495744956
2045,4.479404645
2046,4.463064333
2047,4.446724021
2048,4.430383709
2049,4.414043397
2050,4.397703086
