State,State name,Residential,Commercial,Industrial,Transportation,Total
AL,Alabama,12.574964,11.546934,5.873579,0,9.8407896
AK,Alaska,22.571375,19.575285,15.884937,0,19.819511
AZ,Arizona,12.274255,10.108246,6.0698346,9.384534,10.435695
AR,Arkansas,10.408233,8.6110214,5.8915536,13.316583,8.3217453
CA,California,20.449153,17.529242,14.270605,10.06532,17.998869
CO,Colorado,12.358534,10.290817,7.4840367,8.6378469,10.270902
CT,Connecticut,22.714656,16.58311,13.069866,13.344927,19.133225
DE,Delaware,12.562897,9.1825248,6.7034377,0,10.240684
FL,Florida,11.26899,8.8452637,7.1546026,7.6923283,10.061954
GA,Georgia,12.01619,10.081496,5.7692967,5.3937515,9.9251329
HI,Hawaii,30.282091,28.406893,24.45159,0,27.546932
ID,Idaho,9.9486966,7.7489882,6.229804,0,7.9855206
IL,Illinois,13.042875,9.1468015,6.6969973,6.5578121,9.7495026
IN,Indiana,12.826182,11.206642,6.9794484,10.214433,9.9156884
IA,Iowa,12.459445,9.9579019,6.4267825,0,8.9714567
KS,Kansas,12.853285,10.404002,7.2980172,0,10.378074
KY,Kentucky,10.867223,10.339233,5.3126488,0,8.5834572
LA,Louisiana,9.6679257,8.8513989,4.8804304,8.7664139,7.5140021
ME,Maine,16.811841,12.564395,8.8646459,0,13.544408
MD,Maryland,13.005317,9.7238928,7.8095535,7.7892887,11.149977
MA,Massachusetts,21.965699,16.033086,14.506287,6.2354812,18.19339
MI,Michigan,16.260424,11.711424,7.243034,11.387269,12.211431
MN,Minnesota,13.168291,10.427334,7.6722033,9.4042136,10.566618
MS,Mississippi,11.172846,10.382508,5.6345477,0,9.1254291
MO,Missouri,11.223233,8.9332172,6.8419642,7.8356057,9.6357075
MT,Montana,11.242521,10.514328,5.1753108,0,9.1348975
NE,Nebraska,10.79674,8.8885188,7.3812376,0,8.9729258
NV,Nevada,11.342268,7.4476123,5.6127078,8.8383838,8.3343321
NH,New Hampshire,19.037497,15.411572,13.112286,0,16.633054
NJ,New Jersey,16.028495,12.347841,10.007474,9.1859304,13.634152
NM,New Mexico,12.936179,10.275199,5.5791471,0,9.3347703
NY,New York,18.364581,14.560151,5.5444471,12.136585,14.8655
NC,North Carolina,11.379161,8.6900012,6.3115239,7.6674522,9.4281519
ND,North Dakota,10.436302,9.0182574,7.2626197,0,8.5310552
OH,Ohio,12.287015,9.5271884,6.1594853,6.710794,9.4377944
OK,Oklahoma,10.115675,7.8242336,4.6099641,0,7.627893
OR,Oregon,11.167035,9.0033694,5.696187,9.4606733,8.8236847
PA,Pennsylvania,13.582329,8.4972078,6.1602811,8.5807233,9.6973659
RI,Rhode Island,22.008732,15.942738,15.757769,22.231014,18.539328
SC,South Carolina,12.784295,10.351004,5.9786926,0,9.8996602
SD,South Dakota,11.745686,9.6513981,7.7904556,0,10.058362
TN,Tennessee,10.758827,10.559803,5.332778,0,9.521349
TX,Texas,11.713731,7.5987531,5.068857,6.5151847,8.3646825
UT,Utah,10.43618,8.2712888,5.9034695,10.693922,8.2728693
VT,Vermont,19.535248,16.387422,11.200086,0,16.32925
VA,Virginia,12.026659,7.6329659,6.2763717,8.7748997,9.1594128
WA,Washington,9.8736351,8.9223087,5.0807916,9.9311495,8.3335536
WV,West Virginia,11.803965,9.4026764,6.0937167,0,8.7476724
WI,Wisconsin,14.320461,10.754603,7.2894231,14.641745,10.823817
WY,Wyoming,11.110845,9.6536652,6.8784552,0,8.2743866
