Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
1,10000,1,"3000kW, Pantograph",US,10,1,3.5,0.1458,0.1102,0.0804,0.1014,0.292,2163278.93,536968.79
2,10000,1,"3000kW, Pantograph",US,20,2,3.5,0.1458,0.0981,0.0569,0.1014,0.2564,3825645.17,940204.2
2,10000,2,"3000kW, Pantograph",US,20,1,3.5,0.2917,0.0571,0.0402,0.1014,0.1988,2163278.93,845374.38
3,10000,1,"3000kW, Pantograph",US,30,3,3.5,0.1458,0.0941,0.0491,0.1014,0.2446,5488011.4,1343439.6
3,10000,2,"3000kW, Pantograph",US,30,2,3.5,0.2917,0.0499,0.0316,0.1014,0.1829,2779005.7,1194613.66
3,10000,3,"3000kW, Pantograph",US,30,1,3.5,0.4375,0.0394,0.0268,0.1014,0.1677,2163278.93,1153779.96
4,10000,1,"3000kW, Pantograph",US,40,4,3.5,0.1458,0.0921,0.0451,0.1014,0.2386,7150377.64,1746675.01
4,10000,2,"3000kW, Pantograph",US,40,2,3.5,0.2917,0.0511,0.0284,0.1014,0.181,3825645.17,1557015.37
4,10000,3,"3000kW, Pantograph",US,40,2,3.5,0.4375,0.0358,0.0225,0.1014,0.1597,2573763.44,1489408.01
4,10000,4,"3000kW, Pantograph",US,40,1,3.5,0.5833,0.0306,0.0201,0.1014,0.1521,2163278.93,1462185.55
5,10000,1,"3000kW, Pantograph",US,50,5,3.5,0.1458,0.0852,0.0401,0.1014,0.2268,8262743.87,2112110.41
5,10000,2,"3000kW, Pantograph",US,50,3,3.5,0.2917,0.048,0.0256,0.1014,0.175,4441371.94,1906254.65
5,10000,3,"3000kW, Pantograph",US,50,2,3.5,0.4375,0.0336,0.0199,0.1014,0.155,2984247.96,1825036.06
5,10000,4,"3000kW, Pantograph",US,50,2,3.5,0.5833,0.0284,0.0175,0.1014,0.1474,2471142.32,1791007.98
5,10000,5,"3000kW, Pantograph",US,50,1,3.5,0.7292,0.0253,0.0161,0.1014,0.1428,2163278.93,1770591.13
6,10000,1,"3000kW, Pantograph",US,60,6,3.5,0.1458,0.0877,0.0393,0.1014,0.2284,10246022.8,2520948.24
6,10000,2,"3000kW, Pantograph",US,60,3,3.5,0.2917,0.0491,0.0245,0.1014,0.175,5488011.4,2268656.36
6,10000,3,"3000kW, Pantograph",US,60,2,3.5,0.4375,0.0354,0.019,0.1014,0.1558,3825645.17,2173826.54
6,10000,4,"3000kW, Pantograph",US,60,2,3.5,0.5833,0.027,0.0158,0.1014,0.1442,2779005.7,2119830.41
6,10000,5,"3000kW, Pantograph",US,60,2,3.5,0.7292,0.0238,0.0144,0.1014,0.1396,2409569.64,2095330.19
6,10000,6,"3000kW, Pantograph",US,60,1,3.5,0.875,0.0218,0.0134,0.1014,0.1366,2163278.93,2078996.72
7,10000,1,"3000kW, Pantograph",US,70,7,3.5,0.1458,0.0866,0.0381,0.1014,0.2261,11798389.04,2916623.65
7,10000,2,"3000kW, Pantograph",US,70,4,3.5,0.2917,0.0499,0.0237,0.1014,0.1751,6534650.87,2631058.06
7,10000,3,"3000kW, Pantograph",US,70,3,3.5,0.4375,0.0339,0.0176,0.1014,0.153,4236129.68,2509454.59
7,10000,4,"3000kW, Pantograph",US,70,2,3.5,0.5833,0.0287,0.0152,0.1014,0.1454,3517781.78,2461815.27
7,10000,5,"3000kW, Pantograph",US,70,2,3.5,0.7292,0.0228,0.0131,0.1014,0.1374,2655860.35,2420069.26
7,10000,6,"3000kW, Pantograph",US,70,2,3.5,0.875,0.0207,0.0122,0.1014,0.1343,2368521.19,2401013.53
8,10000,1,"3000kW, Pantograph",US,80,8,3.5,0.1458,0.0858,0.0372,0.1014,0.2244,13350755.27,3312299.05
8,10000,2,"3000kW, Pantograph",US,80,4,3.5,0.2917,0.0481,0.0226,0.1014,0.1721,7150377.64,2980297.35
8,10000,3,"3000kW, Pantograph",US,80,3,3.5,0.4375,0.0352,0.0172,0.1014,0.1538,5077526.89,2858245.06
8,10000,4,"3000kW, Pantograph",US,80,2,3.5,0.5833,0.0276,0.0142,0.1014,0.1432,3825645.17,2790637.71
8,10000,5,"3000kW, Pantograph",US,80,2,3.5,0.7292,0.022,0.0122,0.1014,0.1357,2902151.05,2744808.32
8,10000,6,"3000kW, Pantograph",US,80,2,3.5,0.875,0.0199,0.0113,0.1014,0.1326,2573763.44,2723030.35
9,10000,1,"3000kW, Pantograph",US,90,9,3.5,0.1458,0.0852,0.0364,0.1014,0.2231,14903121.51,3707974.46
9,10000,2,"3000kW, Pantograph",US,90,5,3.5,0.2917,0.0488,0.0222,0.1014,0.1724,8197017.1,3342699.06
9,10000,3,"3000kW, Pantograph",US,90,3,3.5,0.4375,0.0341,0.0164,0.1014,0.1519,5488011.4,3193873.11
9,10000,4,"3000kW, Pantograph",US,90,3,3.5,0.5833,0.0267,0.0134,0.1014,0.1416,4133508.55,3119460.14
9,10000,5,"3000kW, Pantograph",US,90,2,3.5,0.7292,0.0236,0.012,0.1014,0.137,3579354.46,3082709.81
9,10000,6,"3000kW, Pantograph",US,90,2,3.5,0.875,0.0193,0.0105,0.1014,0.1313,2779005.7,3045047.17
10,10000,1,"3000kW, Pantograph",US,100,10,3.5,0.1458,0.0848,0.0359,0.1014,0.2221,16455487.75,4103649.87
10,10000,2,"3000kW, Pantograph",US,100,5,3.5,0.2917,0.0447,0.0201,0.1014,0.1661,8262743.87,3654138.34
10,10000,3,"3000kW, Pantograph",US,100,4,3.5,0.4375,0.0332,0.0157,0.1014,0.1503,5898495.92,3529501.16
10,10000,4,"3000kW, Pantograph",US,100,3,3.5,0.5833,0.026,0.0128,0.1014,0.1402,4441371.94,3448282.57
10,10000,5,"3000kW, Pantograph",US,100,2,3.5,0.7292,0.0229,0.0114,0.1014,0.1357,3825645.17,3407448.88
10,10000,6,"3000kW, Pantograph",US,100,2,3.5,0.875,0.0189,0.01,0.1014,0.1302,2984247.96,3367063.99
11,10000,1,"3000kW, Pantograph",US,110,11,3.5,0.1458,0.0861,0.0358,0.1014,0.2234,18438766.68,4512487.7
11,10000,2,"3000kW, Pantograph",US,110,6,3.5,0.2917,0.0453,0.0198,0.1014,0.1666,9254383.34,4012760.05
