Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'286550461446,IM,S09012019E09302019,4760
'413334417500,MET_ORE,S07012019E07312019,3240
'392474392200,AG_FOOD,S09012019E09302019,19100
'417500439900,IM,S10012019E10312019,17240
'049996403894,CHEM_PET,S02012019E02282019,8320
'381315148250,OTHER,S08012019E08312019,800
'409160417500,CHEM_PET,S01012019E01312019,4560
'396640233425,CHEM_PET,S04012019E04302019,3880
'414447439900,FOR_PROD,S06012019E06302019,4400
'377620394954,NONMET_PRO,S10012019E10312019,17052
'206297439790,CHEM_PET,S06012019E06302019,800
'645172651718,CHEM_PET,S06012019E06302019,3200
'653900456495,MO_VEH,S08012019E08312019,1600
'463793461417,FOR_PROD,S08012019E08312019,2360
'261121396640,IM,S10012019E10312019,3520
'428880421350,CHEM_PET,S08012019E08312019,3720
'566900414692,CHEM_PET,S12012019E12312019,4360
'396640294144,CHEM_PET,S02012019E02282019,3400
'216433497777,CHEM_PET,S01012019E01312019,5080
'281435262400,CHEM_PET,S03012019E03312019,3960
'647000417424,CHEM_PET,S01012019E01312019,3920
'380000261203,CHEM_PET,S04012019E04302019,3080
'380000343100,COAL,S12012019E12312019,31254
'279756413314,COAL,S11012019E11302019,49976
'286550191649,MO_VEH,S04012019E04302019,2000
'380000406850,CHEM_PET,S10012019E10312019,85517
'479386380000,FOR_PROD,S09012019E09302019,3600
'491200647000,CHEM_PET,S03012019E03312019,3920
'262600380000,MET_ORE,S02012019E02282019,3160
'396640271252,CHEM_PET,S04012019E04302019,4000
'381315145460,CHEM_PET,S05012019E05312019,6720
'456200472600,CHEM_PET,S08012019E08312019,2560
'218500206297,IM,S06012019E06302019,160
'396640318378,MO_VEH,S07012019E07312019,13800
'204853223235,NONMET_PRO,S12012019E12312019,144612
'392200253900,AG_FOOD,S12012019E12312019,8720
'456388380639,AG_FOOD,S12012019E12312019,2480
'384869200624,NONMET_PRO,S09012019E09302019,9120
'380000319140,AG_FOOD,S08012019E08312019,18728
'472983384850,FOR_PROD,S02012019E02282019,3320
'380000233430,FOR_PROD,S01012019E01312019,7040
'279933261020,COAL,S03012019E03312019,5196
'647000442332,CHEM_PET,S09012019E09302019,4160
'472210475657,CHEM_PET,S06012019E06302019,3840
'457620209264,NONMET_PRO,S03012019E03312019,4040
'444780499440,NONMET_PRO,S10012019E10312019,3800
'361433218500,MET_ORE,S03012019E03312019,3600
'234000380639,IM,S09012019E09302019,10200
'272997456285,CHEM_PET,S12012019E12312019,6280
'380000296916,CHEM_PET,S04012019E04302019,4000
'278826359430,COAL,S01012019E01312019,22863
'191650380037,MO_VEH,S12012019E12312019,1200
'380000418922,FOR_PROD,S04012019E04302019,3080
'343100567257,MO_VEH,S08012019E08312019,3000
'496417447162,MET_ORE,S07012019E07312019,3800
'271252261200,NONMET_PRO,S07012019E07312019,4080
'647000422390,CHEM_PET,S09012019E09302019,3760
'684320684421,CHEM_PET,S08012019E08312019,3120
'362686427330,AG_FOOD,S02012019E02282019,4280
'377618379164,NONMET_PRO,S11012019E11302019,9624
'380000148250,IM,S10012019E10312019,1920
'647000413332,MO_VEH,S04012019E04302019,4800
'347527206299,CHEM_PET,S11012019E11302019,2560
'471534453869,CHEM_PET,S05012019E05312019,4000
'396640349660,CHEM_PET,S03012019E03312019,4320
'658671483170,CHEM_PET,S02012019E02282019,38280
'380000453360,CHEM_PET,S11012019E11302019,3680
'380000192229,AG_FOOD,S01012019E01312019,3840
'472210456122,MET_ORE,S10012019E10312019,2440
'396640145574,MO_VEH,S07012019E07312019,6640
'417500380000,FOR_PROD,S02012019E02282019,1600
'392200446192,AG_FOOD,S02012019E02282019,8080
'204910198546,CHEM_PET,S06012019E06302019,2920
'497592344192,CHEM_PET,S09012019E09302019,5988
'396640236372,CHEM_PET,S04012019E04302019,3400
'253272182810,NONMET_PRO,S01012019E01312019,8560
'369140380000,AG_FOOD,S08012019E08312019,3800
'456496461417,IM,S09012019E09302019,1200
'413350392200,AG_FOOD,S08012019E08312019,4200
'648115457520,CHEM_PET,S02012019E02282019,3920
'207310439790,IM,S10012019E10312019,1200
'479473647000,CHEM_PET,S08012019E08312019,10720
'318200361800,NONMET_PRO,S02012019E02282019,10800
'347527202412,CHEM_PET,S11012019E11302019,5160
'439900456122,CHEM_PET,S11012019E11302019,3600
'348540407384,AG_FOOD,S02012019E02282019,17820
'472210407767,CHEM_PET,S09012019E09302019,14920
'416629194241,OTHER,S07012019E07312019,3520
'185400206766,CHEM_PET,S04012019E04302019,1840
'207800439250,CHEM_PET,S12012019E12312019,2920
'396640289178,MET_ORE,S10012019E10312019,4360
'380639234000,FOR_PROD,S10012019E10312019,840
'464160497133,NONMET_PRO,S08012019E08312019,49924
'392200566900,AG_FOOD,S01012019E01312019,43400
'219242232427,COAL,S12012019E12312019,28202
'343689191490,FOR_PROD,S02012019E02282019,840
'462330347696,NONMET_PRO,S05012019E05312019,4440
'343689191490,IM,S12012019E12312019,760
'619190668200,NONMET_PRO,S01012019E01312019,68300
'613589656532,NONMET_PRO,S06012019E06302019,77442
'479479318360,MET_ORE,S07012019E07312019,3880
'380000343100,CHEM_PET,S04012019E04302019,1200
'277389194229,CHEM_PET,S12012019E12312019,3920
'447850443241,FOR_PROD,S11012019E11302019,400
'380000199330,CHEM_PET,S05012019E05312019,4400
'647000456360,OTHER,S08012019E08312019,1200
