Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'566790491200,MO_VEH,S06012019E06302019,2760
'380000668100,MET_ORE,S10012019E10312019,1640
'883743684800,IM,S03012019E03312019,840
'624141667262,NONMET_PRO,S12012019E12312019,30087
'566900537990,CHEM_PET,S12012019E12312019,3040
'319797413350,AG_FOOD,S12012019E12312019,27735
'191600347511,OTHER,S02012019E02282019,8400
'853472684320,CHEM_PET,S05012019E05312019,3440
'881525876134,CHEM_PET,S12012019E12312019,7516
'717131503970,CHEM_PET,S07012019E07312019,3960
'380000344611,AG_FOOD,S01012019E01312019,4400
'517130439900,AG_FOOD,S08012019E08312019,7960
'472864461417,FOR_PROD,S12012019E12312019,3080
'547500875608,AG_FOOD,S06012019E06302019,4160
'392200342870,AG_FOOD,S01012019E01312019,25160
'514962849687,AG_FOOD,S07012019E07312019,51110
'777550551462,CHEM_PET,S06012019E06302019,3960
'748537549863,OTHER,S07012019E07312019,9568
'647000461417,IM,S06012019E06302019,2960
'857680439930,FOR_PROD,S08012019E08312019,3840
'364814451880,AG_FOOD,S03012019E03312019,23520
'503590323130,AG_FOOD,S01012019E01312019,24692
'093314853470,CHEM_PET,S04012019E04302019,11280
'383446380000,OTHER,S10012019E10312019,1520
'647000443852,CHEM_PET,S02012019E02282019,3880
'467850204397,FOR_PROD,S05012019E05312019,2560
'621644877622,CHEM_PET,S06012019E06302019,11760
'732527584088,NONMET_PRO,S01012019E01312019,11760
'380000880270,AG_FOOD,S11012019E11302019,14440
'629153507324,CHEM_PET,S02012019E02282019,3920
'396292234000,CHEM_PET,S02012019E02282019,3640
'380000214200,AG_FOOD,S10012019E10312019,4400
'185400202680,CHEM_PET,S05012019E05312019,7480
'345237648115,CHEM_PET,S06012019E06302019,5600
'847121849687,AG_FOOD,S08012019E08312019,25390
'875640381299,IM,S10012019E10312019,320
'706720847883,CHEM_PET,S10012019E10312019,9888
'537933502850,CHEM_PET,S01012019E01312019,4120
'696900784181,CHEM_PET,S07012019E07312019,3640
'519125883010,AG_FOOD,S01012019E01312019,11880
'647000414934,CHEM_PET,S10012019E10312019,4120
'668200621690,CHEM_PET,S11012019E11302019,3920
'585650775554,AG_FOOD,S07012019E07312019,4200
'883683689100,CHEM_PET,S07012019E07312019,4360
'380000206711,AG_FOOD,S07012019E07312019,25808
'269295412394,COAL,S11012019E11302019,18816
'567500392200,IM,S03012019E03312019,640
'392200204383,AG_FOOD,S05012019E05312019,8800
'363505479479,MET_ORE,S09012019E09302019,111160
'647000467770,CHEM_PET,S05012019E05312019,7720
'392200204383,AG_FOOD,S08012019E08312019,3960
'647000380001,AG_FOOD,S06012019E06302019,3600
'080116875851,AG_FOOD,S08012019E08312019,3792
'845203380000,CHEM_PET,S09012019E09302019,2400
'883734439900,IM,S01012019E01312019,9800
'458970461451,NONMET_PRO,S10012019E10312019,16032
'346319472840,MET_ORE,S01012019E01312019,10520
'361950424980,OTHER,S03012019E03312019,3800
'731134674911,COAL,S07012019E07312019,28800
'684773632484,CHEM_PET,S12012019E12312019,3600
'604114880273,MET_ORE,S11012019E11302019,6960
'711147553200,FOR_PROD,S01012019E01312019,4040
'234113380037,MO_VEH,S02012019E02282019,840
'267380198551,NONMET_PRO,S01012019E01312019,3600
'684790566900,CHEM_PET,S03012019E03312019,3360
'647000191470,CHEM_PET,S05012019E05312019,3800
'486160318100,CHEM_PET,S02012019E02282019,7520
'396640205643,OTHER,S06012019E06302019,1840
'513313663370,AG_FOOD,S01012019E01312019,3760
'457210387650,CHEM_PET,S10012019E10312019,3920
'537990667268,AG_FOOD,S10012019E10312019,7760
'363216219241,MET_ORE,S12012019E12312019,7200
'566900554643,AG_FOOD,S12012019E12312019,3800
'849990880273,FOR_PROD,S03012019E03312019,3800
'413350173880,AG_FOOD,S11012019E11302019,3520
'883734584092,CHEM_PET,S12012019E12312019,880
'471767472600,MET_ORE,S01012019E01312019,7720
'566900491201,MO_VEH,S07012019E07312019,2400
'318100365115,MO_VEH,S02012019E02282019,7000
'458851461050,NONMET_PRO,S06012019E06302019,9408
'514324846200,AG_FOOD,S12012019E12312019,25732
'439900883000,CHEM_PET,S05012019E05312019,1520
'418550418958,CHEM_PET,S05012019E05312019,3720
'286326647000,MO_VEH,S09012019E09302019,1040
'777520696900,CHEM_PET,S04012019E04302019,14600
'491200206297,FOR_PROD,S04012019E04302019,8400
'566900439900,CHEM_PET,S10012019E10312019,3640
'667300883160,CHEM_PET,S11012019E11302019,3680
'381299875640,MO_VEH,S03012019E03312019,4960
'668100504450,IM,S09012019E09302019,400
'318872262600,CHEM_PET,S11012019E11302019,7720
'439900883732,IM,S03012019E03312019,4000
'368260446192,AG_FOOD,S12012019E12312019,4120
'396640218305,CHEM_PET,S09012019E09302019,3920
'566900380000,AG_FOOD,S01012019E01312019,11640
'318650361950,MET_ORE,S03012019E03312019,28800
'684773684587,CHEM_PET,S11012019E11302019,7440
'511784567507,AG_FOOD,S12012019E12312019,25296
'731154549260,COAL,S05012019E05312019,194210
'731154538460,COAL,S01012019E01312019,97178
'365730365115,MO_VEH,S10012019E10312019,2520
'384020883257,AG_FOOD,S05012019E05312019,1160
'185400403896,CHEM_PET,S12012019E12312019,4000
'883735439900,CHEM_PET,S04012019E04302019,280
'566900221003,MO_VEH,S08012019E08312019,800
'621713622210,OTHER,S11012019E11302019,300
'684779684587,CHEM_PET,S10012019E10312019,92880
'875640456200,AG_FOOD,S02012019E02282019,6720
'380000774900,MO_VEH,S04012019E04302019,4440
'363510413394,MET_ORE,S10012019E10312019,3400
'315859566790,MO_VEH,S05012019E05312019,480
'396640193151,CHEM_PET,S07012019E07312019,3800
'589954504516,NONMET_PRO,S01012019E01312019,4160
'387650380000,AG_FOOD,S01012019E01312019,4200
'672353677200,CHEM_PET,S09012019E09302019,3960
'439790207310,AG_FOOD,S04012019E04302019,400
'207269647000,AG_FOOD,S03012019E03312019,3640
'506090665943,AG_FOOD,S05012019E05312019,3760
'383454672287,AG_FOOD,S04012019E04302019,7680
'699380684800,MO_VEH,S03012019E03312019,8760
'171760492456,FOR_PROD,S05012019E05312019,3840
'613589656532,NONMET_PRO,S09012019E09302019,25800
'883252584092,IM,S07012019E07312019,13800
'647000458240,CHEM_PET,S08012019E08312019,5796
'215119218172,COAL,S12012019E12312019,30900
'380000283128,FOR_PROD,S11012019E11302019,3560
'206297191560,CHEM_PET,S08012019E08312019,1200
'439900875640,IM,S03012019E03312019,6840
'844140845200,OTHER,S10012019E10312019,3852
'345340223275,AG_FOOD,S12012019E12312019,4080
'855632880273,FOR_PROD,S01012019E01312019,3440
'384850679420,NONMET_PRO,S05012019E05312019,9120
'472600514640,FOR_PROD,S04012019E04302019,3600
'880270380000,NONMET_PRO,S04012019E04302019,1840
'687478380000,MO_VEH,S03012019E03312019,2400
'698350581520,MO_VEH,S08012019E08312019,1600
'847614093768,OTHER,S08012019E08312019,88
'384450463248,CHEM_PET,S05012019E05312019,2320
'381299876155,CHEM_PET,S12012019E12312019,4560
'384020883737,AG_FOOD,S08012019E08312019,26760
'366276458520,AG_FOOD,S01012019E01312019,10272
'653900456495,MET_ORE,S05012019E05312019,800
'396640667300,OTHER,S03012019E03312019,3720
'567500206260,IM,S12012019E12312019,10800
'647000459055,CHEM_PET,S02012019E02282019,4200
'876155774900,IM,S09012019E09302019,800
'522170668141,AG_FOOD,S08012019E08312019,5148
'604163472600,MET_ORE,S03012019E03312019,4040
'341800380000,MET_ORE,S03012019E03312019,400
'380000853470,FOR_PROD,S08012019E08312019,6440
'185400411694,FOR_PROD,S07012019E07312019,3280
'343100191560,AG_FOOD,S05012019E05312019,800
'070333524470,FOR_PROD,S06012019E06302019,3560
'218786221268,CHEM_PET,S08012019E08312019,2920
'384838635478,NONMET_PRO,S09012019E09302019,25146
'504050677350,NONMET_PRO,S01012019E01312019,22956
'251731250350,NONMET_PRO,S02012019E02282019,56928
'202895486160,MET_ORE,S09012019E09302019,4000
'732728679157,NONMET_PRO,S01012019E01312019,4200
'359900568372,CHEM_PET,S07012019E07312019,3160
'380000513670,NONMET_PRO,S02012019E02282019,4480
'380000178964,CHEM_PET,S02012019E02282019,400
'684800883000,IM,S03012019E03312019,16960
'684150647000,CHEM_PET,S09012019E09302019,15720
'674650883660,AG_FOOD,S06012019E06302019,4040
'384020553170,IM,S11012019E11302019,2080
'566900667306,FOR_PROD,S09012019E09302019,3960
'439900876411,FOR_PROD,S05012019E05312019,880
'731134672694,COAL,S01012019E01312019,28188
'439900447850,IM,S03012019E03312019,10080
'647000418550,CHEM_PET,S03012019E03312019,11680
