Railroad,Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),2025 Tons,2030 Tons,2035 Tons,2040 Tons,2045 Tons,2050 Tons
USA1,'566790491200,MO_VEH,S06012019E06302019,2760,2898,3187.8,3283.434,3414.77136,3790.39621
USA1,'380000668100,MET_ORE,S10012019E10312019,1640,1738.4,1790.552,1808.45752,1808.45752,1935.049546
USA1,'883743684800,IM,S03012019E03312019,840,873.6,952.224,980.79072,1000.406534,1120.455319
USA1,'624141667262,NONMET_PRO,S12012019E12312019,30087,33095.7,36074.313,37156.54239,37899.67324,41310.64383
USA1,'566900537990,CHEM_PET,S12012019E12312019,3040,3100.8,3224.832,3289.32864,3618.261504,3762.991964
USA1,'319797413350,AG_FOOD,S12012019E12312019,27735,28567.05,31138.0845,32694.98873,32694.98873,34983.63794
USA1,'191600347511,OTHER,S02012019E02282019,8400,9072,9344.16,9624.4848,10490.68843,10700.5022
USA1,'853472684320,CHEM_PET,S05012019E05312019,3440,3508.8,3649.152,3831.6096,3869.925696,3986.023467
USA1,'881525876134,CHEM_PET,S12012019E12312019,7516,8643.4,9162.004,9345.24408,9438.696521,9627.470451
USA1,'717131503970,CHEM_PET,S07012019E07312019,3960,4554,5009.4,5259.87,5259.87,5575.4622
USA1,'380000344611,AG_FOOD,S01012019E01312019,4400,4796,4843.96,4892.3996,5234.867572,5758.354329
USA1,'517130439900,AG_FOOD,S08012019E08312019,7960,8358,8859.48,9302.454,10046.65032,10348.04983
USA1,'472864461417,FOR_PROD,S12012019E12312019,3080,3388,3625.16,3733.9148,3995.288836,4394.81772
USA1,'547500875608,AG_FOOD,S06012019E06302019,4160,4451.2,4451.2,4629.248,4721.83296,4721.83296
USA1,'392200342870,AG_FOOD,S01012019E01312019,25160,26669.6,26936.296,27205.65896,28837.9985,32298.55832
USA1,'514962849687,AG_FOOD,S07012019E07312019,51110,58776.5,64066.385,66629.0404,66629.0404,75957.10606
USA1,'777550551462,CHEM_PET,S06012019E06302019,3960,4514.4,4875.552,5070.57408,5476.220006,6242.890807
USA1,'748537549863,OTHER,S07012019E07312019,9568,11003.2,11883.456,12239.95968,12607.15847,14246.08907
USA1,'647000461417,IM,S06012019E06302019,2960,3256,3256,3386.24,3691.0016,3838.641664
USA1,'857680439930,FOR_PROD,S08012019E08312019,3840,4339.2,4339.2,4425.984,4824.32256,5017.295462
USA1,'364814451880,AG_FOOD,S03012019E03312019,23520,26107.2,27934.704,28214.05104,30189.03461,31396.596
USA1,'503590323130,AG_FOOD,S01012019E01312019,24692,25185.84,27200.7072,27200.7072,29104.7567,29395.80427
USA1,'093314853470,CHEM_PET,S04012019E04302019,11280,11505.6,12656.16,12909.2832,13296.5617,13429.52731
USA1,'383446380000,OTHER,S10012019E10312019,1520,1702.4,1855.616,1855.616,1948.3968,1967.880768
USA1,'647000443852,CHEM_PET,S02012019E02282019,3880,4462,4640.48,4733.2896,5159.285664,5365.657091
USA1,'467850204397,FOR_PROD,S05012019E05312019,2560,2867.2,2895.872,2924.83072,3100.320563,3193.33018
USA1,'621644877622,CHEM_PET,S06012019E06302019,11760,12348,12471.48,12596.1948,13351.96649,13619.00582
USA1,'732527584088,NONMET_PRO,S01012019E01312019,11760,13524,13929.72,14069.0172,14491.08772,15360.55298
USA1,'380000880270,AG_FOOD,S11012019E11302019,14440,14584.4,15167.776,15319.45376,15932.23191,17047.48814
USA1,'629153507324,CHEM_PET,S02012019E02282019,3920,4233.6,4572.288,4800.9024,5088.956544,5190.735675
USA1,'396292234000,CHEM_PET,S02012019E02282019,3640,3931.2,4324.32,4367.5632,4716.968256,4952.816669
USA1,'380000214200,AG_FOOD,S10012019E10312019,4400,4928,5223.68,5328.1536,5701.124352,6385.259274
USA1,'185400202680,CHEM_PET,S05012019E05312019,7480,8153.2,8723.924,8985.64172,9434.923806,10850.16238
USA1,'345237648115,CHEM_PET,S06012019E06302019,5600,6328,6644.4,6976.62,7395.2172,8282.643264
USA1,'847121849687,AG_FOOD,S08012019E08312019,25390,27167.3,29340.684,29927.49768,32920.24745,34895.46229
USA1,'875640381299,IM,S10012019E10312019,320,355.2,355.2,372.96,376.6896,406.824768
USA1,'706720847883,CHEM_PET,S10012019E10312019,9888,10679.04,11533.3632,11764.03046,12822.79321,14233.30046
USA1,'537933502850,CHEM_PET,S01012019E01312019,4120,4696.8,4790.736,4886.55072,5130.878256,5900.509994
USA1,'696900784181,CHEM_PET,S07012019E07312019,3640,3858.4,4089.904,4130.80304,4502.575314,4862.781339
USA1,'519125883010,AG_FOOD,S01012019E01312019,11880,11998.8,13078.692,13601.83968,14417.95006,14850.48856
USA1,'647000414934,CHEM_PET,S10012019E10312019,4120,4532,4577.32,4714.6396,5044.664372,5196.004303
USA1,'668200621690,CHEM_PET,S11012019E11302019,3920,4351.2,4525.248,4570.50048,4799.025504,4990.986524
USA1,'585650775554,AG_FOOD,S07012019E07312019,4200,4410,4542.3,4769.415,5246.3565,5456.21076
USA1,'883683689100,CHEM_PET,S07012019E07312019,4360,4447.2,4891.92,5087.5968,5443.728576,5498.165862
USA1,'380000206711,AG_FOOD,S07012019E07312019,25808,27872.64,30102.4512,30102.4512,32209.62278,34142.20015
USA1,'269295412394,COAL,S11012019E11302019,18816,21073.92,21073.92,21916.8768,23231.88941,24625.80277
USA1,'567500392200,IM,S03012019E03312019,640,729.6,736.896,751.63392,751.63392,856.8626688
USA1,'392200204383,AG_FOOD,S05012019E05312019,8800,9856,10250.24,10762.752,11193.26208,12088.72305
USA1,'363505479479,MET_ORE,S09012019E09302019,111160,120052.8,132058.08,137340.4032,141460.6153,157021.283
USA1,'647000467770,CHEM_PET,S05012019E05312019,7720,8569.2,9340.428,9340.428,10181.06652,10384.68785
USA1,'392200204383,AG_FOOD,S08012019E08312019,3960,4118.4,4118.4,4283.136,4711.4496,4805.678592
USA1,'647000380001,AG_FOOD,S06012019E06302019,3600,3996,4235.76,4405.1904,4845.70944,5087.994912
USA1,'080116875851,AG_FOOD,S08012019E08312019,3792,4133.28,4381.2768,4425.089568,4779.096733,5400.379309
USA1,'845203380000,CHEM_PET,S09012019E09302019,2400,2664,2690.64,2717.5464,2744.721864,3128.982925
USA1,'883734439900,IM,S01012019E01312019,9800,11074,12070.66,12553.4864,12553.4864,13181.16072
USA1,'458970461451,NONMET_PRO,S10012019E10312019,16032,16993.92,18523.3728,18523.3728,18893.84026,20594.28588
USA1,'346319472840,MET_ORE,S01012019E01312019,10520,10835.6,10943.956,11053.39556,11827.13325,12773.30391
USA1,'361950424980,OTHER,S03012019E03312019,3800,4256,4383.68,4471.3536,4605.494208,5112.098571
USA1,'731134674911,COAL,S07012019E07312019,28800,31680,31680,33264,33929.28,39018.672
USA1,'684773632484,CHEM_PET,S12012019E12312019,3600,3780,3780,3969,4167.45,4334.148
USA1,'604114880273,MET_ORE,S11012019E11302019,6960,7099.2,7667.136,8050.4928,8211.502656,9032.652922
USA1,'711147553200,FOR_PROD,S01012019E01312019,4040,4363.2,4406.832,4627.1736,4627.1736,5228.706168
USA1,'234113380037,MO_VEH,S02012019E02282019,840,949.2,996.66,1016.5932,1047.090996,1193.683735
USA1,'267380198551,NONMET_PRO,S01012019E01312019,3600,3924,4237.92,4237.92,4365.0576,4670.611632
USA1,'684790566900,CHEM_PET,S03012019E03312019,3360,3628.8,3665.088,3665.088,3701.73888,4071.912768
USA1,'647000191470,CHEM_PET,S05012019E05312019,3800,3990,4149.6,4357.08,4531.3632,4712.617728
USA1,'486160318100,CHEM_PET,S02012019E02282019,7520,8121.6,8527.68,8612.9568,9043.60464,10219.27324
USA1,'396640205643,OTHER,S06012019E06302019,1840,1858.4,1988.488,2008.37288,2108.791524,2172.05527
USA1,'513313663370,AG_FOOD,S01012019E01312019,3760,3835.2,4180.368,4263.97536,4349.254867,4697.195257
USA1,'457210387650,CHEM_PET,S10012019E10312019,3920,4390.4,4741.632,4741.632,4883.88096,5372.269056
USA1,'537990667268,AG_FOOD,S10012019E10312019,7760,8458.4,8796.736,8884.70336,9417.785562,9417.785562
USA1,'363216219241,MET_ORE,S12012019E12312019,7200,8136,8624.16,9055.368,9508.1364,10268.78731
USA1,'566900554643,AG_FOOD,S12012019E12312019,3800,4256,4468.8,4692.24,4879.9296,5123.92608
USA1,'849990880273,FOR_PROD,S03012019E03312019,3800,4294,4379.88,4598.874,4782.82896,4878.485539
USA1,'413350173880,AG_FOOD,S11012019E11302019,3520,3801.6,3877.632,3877.632,4226.61888,4776.079334
USA1,'883734584092,CHEM_PET,S12012019E12312019,880,959.2,1045.528,1076.89384,1076.89384,1141.50747
USA1,'471767472600,MET_ORE,S01012019E01312019,7720,7720,8028.8,8109.088,8838.90592,9104.073098
USA1,'566900491201,MO_VEH,S07012019E07312019,2400,2616,2616,2642.16,2668.5816,2748.639048
USA1,'318100365115,MO_VEH,S02012019E02282019,7000,7840,7840,7918.4,8631.056,9407.85104
USA1,'458851461050,NONMET_PRO,S06012019E06302019,9408,10725.12,10832.3712,11157.34234,12273.07657,12763.99963
USA1,'514324846200,AG_FOOD,S12012019E12312019,25732,28305.2,30852.668,32086.77472,34974.58444,38821.78873
USA1,'439900883000,CHEM_PET,S05012019E05312019,1520,1565.6,1690.848,1775.3904,1952.92944,2050.575912
USA1,'418550418958,CHEM_PET,S05012019E05312019,3720,4054.8,4460.28,4504.8828,4730.12694,4966.633287
USA1,'286326647000,MO_VEH,S09012019E09302019,1040,1040,1112.8,1135.056,1237.21104,1286.699482
USA1,'777520696900,CHEM_PET,S04012019E04302019,14600,14892,16381.2,16708.824,17711.35344,20368.05646
USA1,'491200206297,FOR_PROD,S04012019E04302019,8400,9156,9980.04,10479.042,11422.15578,11993.26357
USA1,'566900439900,CHEM_PET,S10012019E10312019,3640,3858.4,3858.4,3896.984,3974.92368,4094.17139
USA1,'667300883160,CHEM_PET,S11012019E11302019,3680,4195.2,4614.72,4799.3088,5087.267328,5494.248714
USA1,'381299875640,MO_VEH,S03012019E03312019,4960,5158.4,5313.152,5578.8096,5969.326272,6327.485848
USA1,'668100504450,IM,S09012019E09302019,400,404,412.08,424.4424,445.66452,459.0344556
USA1,'318872262600,CHEM_PET,S11012019E11302019,7720,8337.6,9171.36,9446.5008,9729.895824,10410.98853
USA1,'439900883732,IM,S03012019E03312019,4000,4080,4202.4,4286.448,4372.17696,4415.89873
USA1,'368260446192,AG_FOOD,S12012019E12312019,4120,4655.6,4841.824,4987.07872,4987.07872,5336.17423
USA1,'396640218305,CHEM_PET,S09012019E09302019,3920,4155.2,4321.408,4321.408,4494.26432,5123.461325
USA1,'566900380000,AG_FOOD,S01012019E01312019,11640,12105.6,12710.88,12710.88,13981.968,15240.34512
USA1,'318650361950,MET_ORE,S03012019E03312019,28800,30528,33275.52,33275.52,36270.3168,38083.83264
USA1,'684773684587,CHEM_PET,S11012019E11302019,7440,8556,8983.8,9432.99,9432.99,10187.6292
USA1,'511784567507,AG_FOOD,S12012019E12312019,25296,26560.8,27623.232,27623.232,28175.69664,30711.50934
USA1,'731154549260,COAL,S05012019E05312019,194210,211688.9,232857.79,244500.6795,261615.7271,290393.457
USA1,'731154538460,COAL,S01012019E01312019,97178,107867.58,115418.3106,121189.2261,124824.9029,129817.899
USA1,'365730365115,MO_VEH,S10012019E10312019,2520,2696.4,2858.184,2972.51136,3002.236474,3122.325933
USA1,'384020883257,AG_FOOD,S05012019E05312019,1160,1310.8,1389.448,1403.34248,1403.34248,1487.543029
USA1,'185400403896,CHEM_PET,S12012019E12312019,4000,4440,4528.8,4664.664,4944.54384,5438.998224
USA1,'883735439900,CHEM_PET,S04012019E04302019,280,294,317.52,317.52,320.6952,339.936912
USA1,'566900221003,MO_VEH,S08012019E08312019,800,840,873.6,873.6,952.224,1085.53536
USA1,'621713622210,OTHER,S11012019E11302019,300,345,369.15,369.15,383.916,410.79012
USA1,'684779684587,CHEM_PET,S10012019E10312019,92880,98452.8,100421.856,103434.5117,107571.8921,117253.3624
USA1,'875640456200,AG_FOOD,S02012019E02282019,6720,7056,7691.04,7921.7712,8713.94832,9498.203669
USA1,'380000774900,MO_VEH,S04012019E04302019,4440,4839.6,4984.788,5084.48376,5491.242461,5655.979735
USA1,'363510413394,MET_ORE,S10012019E10312019,3400,3536,3677.44,3787.7632,4052.906624,4052.906624
USA1,'315859566790,MO_VEH,S05012019E05312019,480,552,557.52,574.2456,602.95788,615.0170376
USA1,'396640193151,CHEM_PET,S07012019E07312019,3800,3952,4110.08,4274.4832,4701.93152,4890.008781
USA1,'589954504516,NONMET_PRO,S01012019E01312019,4160,4700.8,4888.832,4986.60864,5136.206899,5547.103451
USA1,'387650380000,AG_FOOD,S01012019E01312019,4200,4578,5035.8,5086.158,5543.91222,6209.181686
USA1,'672353677200,CHEM_PET,S09012019E09302019,3960,4316.4,4359.564,4359.564,4403.15964,4623.317622
USA1,'439790207310,AG_FOOD,S04012019E04302019,400,404,436.32,436.32,479.952,479.952
USA1,'207269647000,AG_FOOD,S03012019E03312019,3640,4149.6,4523.064,4613.52528,4936.47205,5331.389814
USA1,'506090665943,AG_FOOD,S05012019E05312019,3760,3797.6,3987.48,4146.9792,4395.797952,4835.377747
USA1,'383454672287,AG_FOOD,S04012019E04302019,7680,8678.4,9025.536,9115.79136,9298.107187,9670.031475
USA1,'699380684800,MO_VEH,S03012019E03312019,8760,9898.8,10690.704,11225.2392,12347.76312,12594.71838
USA1,'171760492456,FOR_PROD,S05012019E05312019,3840,4416,4416,4460.16,4460.16,4906.176
USA1,'613589656532,NONMET_PRO,S09012019E09302019,25800,28638,29783.52,31272.696,33774.51168,34787.74703
USA1,'883252584092,IM,S07012019E07312019,13800,15732,16046.64,16367.5728,17349.62717,19778.57497
USA1,'647000458240,CHEM_PET,S08012019E08312019,5796,6027.84,6389.5104,6708.98592,7178.614934,7537.545681
USA1,'215119218172,COAL,S12012019E12312019,30900,33681,37049.1,38160.573,39686.99592,39686.99592
USA1,'380000283128,FOR_PROD,S11012019E11302019,3560,4058.4,4464.24,4642.8096,4967.806272,5663.29915
USA1,'206297191560,CHEM_PET,S08012019E08312019,1200,1344,1370.88,1384.5888,1467.664128,1526.370693
USA1,'439900875640,IM,S03012019E03312019,6840,7318.8,7977.492,7977.492,8535.91644,9474.867248
USA1,'844140845200,OTHER,S10012019E10312019,3852,3967.56,4364.316,4451.60232,4852.246529,4997.813925
USA1,'345340223275,AG_FOOD,S12012019E12312019,4080,4120.8,4409.256,4497.44112,4542.415531,4587.839687
USA1,'855632880273,FOR_PROD,S01012019E01312019,3440,3680.8,3717.608,3754.78408,3754.78408,4017.618966
USA1,'384850679420,NONMET_PRO,S05012019E05312019,9120,10488,11327.04,11327.04,11327.04,11553.5808
USA1,'472600514640,FOR_PROD,S04012019E04302019,3600,3996,4155.84,4238.9568,4408.515072,4673.025976
USA1,'880270380000,NONMET_PRO,S04012019E04302019,1840,1895.2,2084.72,2147.2616,2211.679448,2454.964187
USA1,'687478380000,MO_VEH,S03012019E03312019,2400,2688,2714.88,2769.1776,2963.020032,3377.842836
USA1,'698350581520,MO_VEH,S08012019E08312019,1600,1616,1632.16,1664.8032,1681.451232,1815.967331
USA1,'847614093768,OTHER,S08012019E08312019,88,97.68,103.5408,104.576208,113.9880667,120.8273507
USA1,'384450463248,CHEM_PET,S05012019E05312019,2320,2552,2730.64,2812.5592,2812.5592,3093.81512
USA1,'381299876155,CHEM_PET,S12012019E12312019,4560,4924.8,5417.28,5417.28,5525.6256,5636.138112
USA1,'384020883737,AG_FOOD,S08012019E08312019,26760,29168.4,30043.452,31545.6246,34700.18706,39558.21325
USA1,'366276458520,AG_FOOD,S01012019E01312019,10272,10477.44,11106.0864,11439.26899,12240.01782,12729.61853
USA1,'653900456495,MET_ORE,S05012019E05312019,800,856,898.8,943.74,1009.8018,1130.978016
USA1,'396640667300,OTHER,S03012019E03312019,3720,4054.8,4054.8,4054.8,4419.732,5082.6918
USA1,'567500206260,IM,S12012019E12312019,10800,10908,11780.64,12134.0592,12498.08098,13247.96583
USA1,'647000459055,CHEM_PET,S02012019E02282019,4200,4494,4673.76,4860.7104,4957.924608,5304.979331
USA1,'876155774900,IM,S09012019E09302019,800,912,994.08,994.08,1004.0208,1084.342464
USA1,'522170668141,AG_FOOD,S08012019E08312019,5148,5199.48,5199.48,5407.4592,5894.130528,6012.013139
USA1,'604163472600,MET_ORE,S03012019E03312019,4040,4363.2,4712.256,4712.256,4994.99136,5294.690842
USA1,'341800380000,MET_ORE,S03012019E03312019,400,440,470.8,480.216,480.216,552.2484
USA1,'380000853470,FOR_PROD,S08012019E08312019,6440,6568.8,7225.68,7586.964,7738.70328,7893.477346
USA1,'185400411694,FOR_PROD,S07012019E07312019,3280,3312.8,3445.312,3548.67136,3584.158074,3870.890719
USA1,'343100191560,AG_FOOD,S05012019E05312019,800,920,938.4,947.784,1023.60672,1054.314922
USA1,'070333524470,FOR_PROD,S06012019E06302019,3560,3595.6,3847.292,4001.18368,4361.290211,5015.483743
USA1,'218786221268,CHEM_PET,S08012019E08312019,2920,3358,3458.74,3527.9148,3774.868836,4341.099161
USA1,'384838635478,NONMET_PRO,S09012019E09302019,25146,28917.9,30942.153,31560.99606,34085.87574,34426.7345
USA1,'504050677350,NONMET_PRO,S01012019E01312019,22956,25481.16,27774.4644,27774.4644,29718.67691,33284.91814
USA1,'251731250350,NONMET_PRO,S02012019E02282019,56928,62051.52,63292.5504,63292.5504,64558.40141,65849.56944
USA1,'202895486160,MET_ORE,S09012019E09302019,4000,4200,4284,4284,4583.88,5042.268
USA1,'732728679157,NONMET_PRO,S01012019E01312019,4200,4284,4369.68,4457.0736,4813.639488,5439.412621
USA1,'359900568372,CHEM_PET,S07012019E07312019,3160,3191.6,3319.264,3485.2272,3589.784016,3625.681856
USA1,'380000513670,NONMET_PRO,S02012019E02282019,4480,4748.8,4891.264,4891.264,4940.17664,5582.399603
USA1,'380000178964,CHEM_PET,S02012019E02282019,400,448,483.84,508.032,553.75488,625.7430144
USA1,'684800883000,IM,S03012019E03312019,16960,19504,19504,19894.08,21087.7248,24250.88352
USA1,'684150647000,CHEM_PET,S09012019E09302019,15720,16506,17991.54,17991.54,18531.2862,19643.16337
USA1,'674650883660,AG_FOOD,S06012019E06302019,4040,4322.8,4322.8,4495.712,4495.712,4675.54048
USA1,'384020553170,IM,S11012019E11302019,2080,2121.6,2291.328,2382.98112,2573.61961,2650.828198
USA1,'566900667306,FOR_PROD,S09012019E09302019,3960,4276.8,4490.64,4490.64,4894.7976,5335.329384
USA1,'439900876411,FOR_PROD,S05012019E05312019,880,950.4,1035.936,1056.65472,1088.354362,1197.189798
USA1,'731134672694,COAL,S01012019E01312019,28188,32134.32,32134.32,33419.6928,36093.26822,37897.93164
USA1,'439900447850,IM,S03012019E03312019,10080,10483.2,10902.528,11011.55328,11672.24648,12255.8588
USA1,'647000418550,CHEM_PET,S03012019E03312019,11680,12147.2,13240.448,13240.448,13770.06592,14183.1679
USA1,'365316488227,CHEM_PET,S01012019E01312019,11400,11856,12211.68,12700.1472,12954.15014,13342.77465
USA1,'388260392200,AG_FOOD,S04012019E04302019,12568,12568,13196.4,13856.22,14410.4688,14554.57349
USA1,'365115395650,MO_VEH,S03012019E03312019,6440,7212.8,7934.08,8172.1024,8580.70752,9095.549971
USA1,'353100380000,CHEM_PET,S06012019E06302019,2400,2760,2787.6,2843.352,2957.08608,3045.798662
USA1,'468111647000,FOR_PROD,S07012019E07312019,3240,3661.2,3917.484,4113.3582,4319.02611,4664.548199
USA1,'567500261004,CHEM_PET,S12012019E12312019,1600,1728,1848.96,1941.408,2019.06432,2301.733325
USA1,'384020846203,IM,S11012019E11302019,4920,5510.4,5841.024,6016.25472,6617.880192,7610.562221
USA1,'219986411404,COAL,S11012019E11302019,25784,28620.24,30623.6568,32154.83964,33762.58162,37138.83978
USA1,'840355380000,FOR_PROD,S08012019E08312019,3920,4351.2,4568.76,4797.198,4797.198,5468.80572
USA1,'491200359900,MO_VEH,S04012019E04302019,1200,1368,1395.36,1451.1744,1509.221376,1614.866872
USA1,'708576849990,AG_FOOD,S03012019E03312019,25086,25587.72,27634.7376,28187.43235,30724.30126,31031.54428
USA1,'588250622300,OTHER,S04012019E04302019,2640,3009.6,3160.08,3223.2816,3481.144128,3550.767011
USA1,'392200262237,AG_FOOD,S03012019E03312019,3800,4256,4596.48,4596.48,5010.1632,5260.67136
USA1,'554170880286,AG_FOOD,S12012019E12312019,3588,3623.88,3660.1188,3696.719988,3881.555987,4347.342706
USA1,'668200686450,AG_FOOD,S05012019E05312019,4480,4928,5371.52,5586.3808,5753.972224,6329.369446
USA1,'552426380000,AG_FOOD,S09012019E09302019,22880,23337.6,24504.48,25484.6592,28033.12512,30275.77513
USA1,'472880342668,NONMET_PRO,S11012019E11302019,4120,4284.8,4370.496,4545.31584,4999.847424,5549.830641
USA1,'537933558917,CHEM_PET,S02012019E02282019,8720,9417.6,9700.128,10088.13312,10693.42111,11655.82901
USA1,'380000384188,OTHER,S08012019E08312019,1320,1359.6,1441.176,1513.2348,1634.293584,1765.037071
USA1,'384020883257,IM,S07012019E07312019,1440,1569.6,1632.384,1632.384,1795.6224,1975.18464
USA1,'486160424250,FOR_PROD,S07012019E07312019,3640,3967.6,3967.6,4165.98,4374.279,4942.93527
USA1,'628630672700,NONMET_PRO,S06012019E06302019,8640,9244.8,9429.696,9901.1808,10396.23984,10500.20224
USA1,'684800684735,CHEM_PET,S01012019E01312019,3720,4203.6,4413.78,4546.1934,4591.655334,4958.987761
USA1,'525160299215,AG_FOOD,S11012019E11302019,25380,29187,31521.96,33098.058,33098.058,36738.84438
USA1,'647000346740,CHEM_PET,S09012019E09302019,7320,7612.8,8221.824,8468.47872,9230.641805,9507.561059
USA1,'566900513942,OTHER,S05012019E05312019,2160,2397.6,2469.528,2543.61384,2696.23067,2723.192977
USA1,'472985417495,NONMET_PRO,S04012019E04302019,4200,4200,4326,4455.78,4589.4534,5186.082342
USA1,'567500191821,IM,S10012019E10312019,3920,4194.4,4194.4,4404.12,4756.4496,4994.27208
USA1,'393317369450,MET_ORE,S09012019E09302019,14712,14712,15300.48,15912.4992,16071.62419,16553.77292
USA1,'684119883641,FOR_PROD,S02012019E02282019,3120,3244.8,3439.488,3577.06752,3863.232922,4017.762238
USA1,'842659668200,AG_FOOD,S01012019E01312019,3080,3542,3825.36,3940.1208,3940.1208,4491.737712
USA1,'566900644800,AG_FOOD,S02012019E02282019,5028,5178.84,5696.724,5696.724,6266.3964,6767.708112
USA1,'731122501595,COAL,S04012019E04302019,29846,34024.44,35725.662,37511.9451,38262.184,39027.42768
USA1,'463240479800,CHEM_PET,S09012019E09302019,3400,3434,3537.02,3572.3902,3929.62922,4165.406973
USA1,'648115457520,CHEM_PET,S09012019E09302019,3920,4233.6,4656.96,4703.5296,4844.635488,5183.759972
