Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'318100318100,CHEM_PET,S08012019E08312019,3396
'380000386232,CHEM_PET,S04012019E04302019,3520
'503136542849,CHEM_PET,S07012019E07312019,4040
'380000877551,CHEM_PET,S12012019E12312019,3840
'538428883656,AG_FOOD,S10012019E10312019,12720
'380000845375,MO_VEH,S02012019E02282019,9920
'883737384020,IM,S05012019E05312019,39640
'794112797000,NONMET_PRO,S09012019E09302019,4600
'622300689879,CHEM_PET,S06012019E06302019,7080
'392498674620,AG_FOOD,S04012019E04302019,24830
'439875047600,IM,S09012019E09302019,3080
'687478384020,MO_VEH,S03012019E03312019,4000
'363510058248,CHEM_PET,S05012019E05312019,3480
'485650380000,MO_VEH,S07012019E07312019,800
'855632380000,FOR_PROD,S08012019E08312019,7960
'731153685234,COAL,S12012019E12312019,119712
'456200883000,MET_ORE,S10012019E10312019,1600
'774900381299,IM,S05012019E05312019,320
'604112696900,MET_ORE,S08012019E08312019,8120
'840600380000,FOR_PROD,S06012019E06302019,8320
'521410840600,CHEM_PET,S07012019E07312019,3840
'696900566900,NONMET_PRO,S07012019E07312019,4440
'668100677200,IM,S03012019E03312019,3360
'512975504600,AG_FOOD,S05012019E05312019,7800
'080116731146,CHEM_PET,S01012019E01312019,7480
'645172058248,CHEM_PET,S04012019E04302019,13720
'674650883660,AG_FOOD,S11012019E11302019,8240
'581520698350,OTHER,S07012019E07312019,2800
'621644881563,CHEM_PET,S05012019E05312019,3920
'831438527180,FOR_PROD,S08012019E08312019,3280
'686279396640,CHEM_PET,S11012019E11302019,7960
'604112744300,MET_ORE,S10012019E10312019,9760
'684758558363,CHEM_PET,S02012019E02282019,8000
'516564848440,CHEM_PET,S03012019E03312019,2600
'684150647000,CHEM_PET,S06012019E06302019,3960
'384850623550,NONMET_PRO,S03012019E03312019,4600
'797000584092,IM,S03012019E03312019,2440
'318200395650,MO_VEH,S03012019E03312019,1200
'513942396640,CHEM_PET,S01012019E01312019,87154
'380000883715,IM,S03012019E03312019,1920
'627181842652,FOR_PROD,S09012019E09302019,4000
'684775514760,CHEM_PET,S10012019E10312019,4740
'659353691197,AG_FOOD,S06012019E06302019,3800
'731122538453,COAL,S05012019E05312019,116140
'883000380000,FOR_PROD,S04012019E04302019,880
'853470668100,MET_ORE,S08012019E08312019,840
