SPLC,lon,lat
496127,-80.820528,28.651969
496288,-81.356984,28.662985
497154,-82.112347,28.664425
496417,-81.507445,28.668025
698187,-99.168932,28.671085
496126,-80.826596,28.674153
496285,-81.349145,28.677301
688117,-96.553283,28.684688
688276,-96.936895,28.685211
496415,-81.546525,28.686557
688108,-96.547962,28.687305
688257,-96.830983,28.689645
698352,-100.505367,28.696882
688275,-97.222273,28.698135
698350,-100.50941,28.69553
496282,-81.345547,28.700845
496267,-81.295258,28.705172
687970,-98.474212,28.707574
688274,-96.873083,28.719925
496216,-81.303526,28.729996
688253,-96.758463,28.733457
496413,-81.62096,28.735417
496373,-81.666817,28.741395
687968,-98.302469,28.742731
688272,-96.920389,28.750113
496240,-81.317687,28.758905
496214,-81.257627,28.759685
688252,-96.721863,28.762142
688283,-97.081663,28.762224
496371,-81.725813,28.764148
698183,-99.132702,28.768205
496116,-80.850733,28.770609
496213,-81.25872,28.772691
688282,-97.027674,28.789624
496337,-81.644687,28.798155
497133,-82.071496,28.799409
688260,-96.99692,28.79871
496339,-81.724941,28.802039
698342,-100.45297,28.80563
496335,-81.562995,28.807246
496210,-81.293871,28.810689
496203,-81.294256,28.810959
686970,-96.618885,28.824747
496222,-81.32127,28.827788
686760,-95.934213,28.830565
698354,-100.434212,28.838625
688237,-96.914488,28.838994
686968,-96.551953,28.840335
698150,-99.111392,28.841715
686965,-96.464433,28.843455
491968,-81.323187,28.845305
688230,-96.891758,28.850845
496341,-81.686149,28.852756
497127,-82.042909,28.860325
491965,-81.324662,28.860614
687973,-98.348738,28.860897
491977,-80.854969,28.86436
496343,-81.701117,28.875089
686783,-96.218013,28.875585
686775,-96.140173,28.887155
686772,-96.048186,28.897096
686733,-96.015773,28.901045
491999,-81.333811,28.914984
496328,-81.674919,28.916003
491975,-80.888237,28.936285
687938,-98.413362,28.944605
491996,-81.33227,28.94902
686957,-96.704068,28.949105
698378,-100.400122,28.956845
686297,-95.351275,28.959964
497226,-82.570676,28.963283
686732,-95.94311,28.8793
687936,-98.481083,28.972454
497222,-82.562799,28.976545
686730,-95.9654,28.9869
491973,-80.91386,28.994533
687665,-97.154463,28.995235
687934,-98.479137,28.995748
686731,-95.876423,29.000105
686287,-95.379972,29.002589
686724,-95.849709,29.008134
495986,-82.035987,29.008705
491962,-81.351227,29.013451
491971,-80.926631,29.02253
686286,-95.398873,29.024755
491960,-81.309526,29.033625
686293,-95.693025,29.03754
686291,-95.570033,29.045475
686923,-96.506374,29.04675
686284,-95.420103,29.049665
698123,-99.00987,29.053322
495990,-82.449988,29.061409
495984,-82.049857,29.063215
686921,-96.479235,29.063713
687917,-98.487022,29.067365
495972,-81.987787,29.081245
491958,-81.364424,29.086135
687640,-97.297539,29.091983
686580,-96.407501,29.108769
495982,-82.090977,29.113595
692684,-98.923612,29.114085
495995,-82.048536,29.115492
687933,-98.492412,29.12182
491944,-80.990057,29.137045
491956,-81.360497,29.138205
692674,-98.904992,29.138505
495954,-82.103965,29.139127
686578,-96.343427,29.148855
686250,-95.435363,29.156255
495971,-82.094299,29.159843
692788,-100.073847,29.162402
692964,-100.396762,29.164435
686579,-96.306702,29.171881
686241,-95.410433,29.172525
491943,-81.006787,29.172915
692786,-100.032346,29.177115
692673,-98.865452,29.189335
495950,-82.136202,29.192596
686575,-96.26911,29.195201
