Keyword,Notes
rr,Name of railroad network to use. Must match name of stored file.
fuel_type,"Name of energy technology to use, possible technologies are: <battery>, <hyrdogen>, <e-fuel>, <biodiesel>, <hybrid2:1>, <hybrid1:1>."
deployment_perc,"Target (minimum) percentage of available ton-miles to capture/serve with selected <fuel_type>. Allowed range is [0,1]. Ignored if (a) <max_flow> set to <1> or <True>, or if (b) <fuel_type> set to <hybrid2:1> or <hybrid1:1> ."
range_km,"Interfacility range (in km) for technologies requiring deployment of charging/refueling facilities. Required for <fuel_type> set to <battery>, <hybrid2:1>, and <hybrid1:1>. Optional for <fuel_type> set to <hydrogen>, otherwise default value is <1600> if none provided. Ignored for <fuel_type> set to <e-fuel> and <biodiesel>."
max_flow,"Sets objective sense for facility location optimization for <fuel_type> set to <battery>, <hydrogen>, <hybrid2:1>, or <hybrid1:1>. <max_flow> set to <1> or <True> indicates flow maximization objective with a budget constraint (set by <budget>). <max_flow> set to <0> or <False> indicates a cost minimization objective with a flow capture constraint (set by <deployment_perc>). Ignored if <fuel_type> set to <e-fuel> or <biodiesel>."
budget,"Optional value to set budget constraint for facility location problem. If no value is provided, budget is assumed to be infinite. Ignored if <max_flow> set to <0> or if <fuel_type> set to <e-fuel> or <biodiesel>. "
extend_graph,"Determines if subnetwork can be extended to serve potential trips not along their shortest paths. Possible values are <1> or <True> and <0> or <False>. Setting to <0> or <False> does not further extend the network that results from the facility location optimization. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>, <hybrid2:1>, or <hybrid1:1>."
reroute,"Determines if flows can be rerouted to paths other than the shortest path on the newly constructed subnetwork. Values of <1> or <True> indicate rerouting is allowed and <0> or <False> indicate rerouting is not allowed. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>, <hybrid2:1>, or <hybrid1:1>."
switch_tech,"Determines if flows can be assigned to paths containing segments where the alternative technology is not activated. Values of <1> or <True> indicate switching of energy technology is allowed and <0> or <False> indicate switching of energy technology is not allowed. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>, <hybrid2:1>, or <hybrid1:1>."
max_reroute_inc,"Sets the maximum reroute distance increase. Value must be non-negative, a value of <0.5> corresponds to an allowance of 50% increase in distance increase for a path connecting two points i and j, relative to the shortest path connecting i and j. Ignored if (a) <reroute> set to <0> or <False> or if (b) <fuel_type> set to <e-fuel>, <biodiesel>, <hybrid2:1>, or <hybrid1:1>."
max_util,"Determines the maximum station utilization rate for charging/refueling stations. Value must be in range [0,1]. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
station_type,"Determines the type of charging/refueling station technology considered. Values for <fuel_type> set to <battery>, <hybrid2:1>, or <hybrid1:1> must be set to <3MW> and for <hydrogen> must be set to <Cryo-pump>, <700 via pump>, or <350 via pump>. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
h2_fuel_type,"Sets the fuel pathway considered for hydrogen fuels. Value must be <Natural Gas>, <NG with CO2 Sequestration>, <PEM Electrolysis - Solar>, or <PEM Electrolysis - Nuclear>. Ignored if <fuel_type> not set to <hydrogen>."
clean_energy,Determines if clean energy is considered in the framework. Value of <1> or <True> indicates clean energy is sourced and <0> or <False> indicates current energy-specific emissions estimates are used.
clean_energy_cost,"Sets the cost of sourcing clean energy. Units are [$/kWh] for <fuel_type> set to <battery>, <hybrid2:1>, or <hybrid1:1> and [$/kgH2] for <fuel_type> set to <hydrogen>. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
emissions_obj,"Determines if facility sizing/energy sourcing objective is based on cost or emissions minimization. Value of <1> or <True> indicates emissions minimization objective and <0> or <False> indicates cost minimization objective. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
eff_energy_p_tender,"Sets the effective energy capacity of each locomotive energy storage tender car. Optional parameter. Units for <fuel_type> set to <battery>, <hybrid2:1>, or <hybrid1:1> are in [kWh/tender car], default is set to 10000 if none is provided.  Units for <fuel_type> set to <hydrogen> are in [kgH2/tender car], default is set to 4000 if none is provided. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
tender_cost_p_tonmi,"Sets levelized amortized cost of ownership and operation of energy storage tender car. Units are in [$/ton-mile]. Optional parameter. Used only for <fuel_type> set to <battery>, <hybrid2:1>, or <hybrid1:1>, default is set to values in file 'input>railroad>railroad_values.csv' if none is provided.  "
diesel_cost_p_gal,"Sets the cost of diesel. Units are in [$/gallon of diesel]. Optional parameter, default is set to values in file 'input>TEA>tea_dropin_fuel_dollar_gal.csv' if none is provided. Ignored for <fuel_type> set to <e-fuel>, <biodiesel>."
comm_group,"Sets commodity group to focus on for display of results. Allowed values are <TOTAL>, <OTHER>, <MO_VEH>, <AG_FOOD>, <IM>, <COAL>, <CHEM_PET>, <NONMET_PRO>, <FOR_PROD>, and <MET_ORE>."
flow_data_filename,Name of flow data file containing flow data for scenario of interest. Must be a '.csv' file and must include the file extension in the name. Stored in 'input>flow' directory. Must contain correct format.
year,Year of analysis. Must match the year of analysis in the flow data file.
suppress_output,Sets the optimization output log parameter for the console. Value of <1> or <True> prints all processes of optimization solver and <0> or <False> suppresses this output.
legend_show,Sets the legend display for the visualization of results. Value of <1> or <True> shows the legend and <0> or <False> turns the legend off.
scenario_code,"Unique identifier to name this scenario and its input and output files. The name must match the name of this file (excluding the extension). For example, <testA> must be used if this file will be saved as 'testA.csv'. Output files will be prefixed by the <scenario_code>. "
